question1,question2,is_duplicate
"How do I learn Python programming?","What is the best way to learn Python?",1
"How can I improve my English writing?","What are the best tips to improve English writing skills?",1
"What is machine learning?","Explain machine learning in simple terms.",1
"How to lose weight fast?","What is the quickest way to lose weight?",1
"Best programming language for beginners?","Which programming language should a beginner start with?",1
"How do I cook rice?","What is the best way to cook rice?",1
"What is the capital of France?","Tell me the capital city of France.",1
"How to fix a flat tire?","What are the steps to repair a flat tire?",1
"Why is the sky blue?","What makes the sky appear blue?",1
"How does a car engine work?","Explain how internal combustion engines work.",1
"What is the boiling point of water?","Where is Mount Everest located?",0
"How tall is the Eiffel Tower?","How do I bake chocolate cookies?",0
"Best smartphone in 2024?","What is photosynthesis?",0
"How to swim freestyle?","Capital of Brazil?",0
"What is dark matter?","How to brew good coffee?",0
"How to plant tomatoes?","What is quantum entanglement?",0
"Best laptop for gaming?","How to write a resume?",0
"How to learn French?","What causes earthquakes?",0
"Best running shoes?","How does GPS work?",0
"How to invest in stocks?","What is the lifespan of a turtle?",0
